id,name
160,Công Ty TNHH Tập Đoàn Xây Dựng Delta
161,Công Ty TNHH Jaeyoung Vina
162,Công Ty Cổ Phần HTC Viễn Thông Quốc Tế
163,Damen Song Cam Shipyard (Dscs)
164,CÔNG TY TNHH MVC & CO
165,Công Ty TNHH Airquay Vina
166,Công ty TNHH Xây dựng N.T.S.C
167,EMG Education
1240,CÔNG TY CỔ PHẦN AN VIỆT SÔNG HỒNG SÀI GÒN
1241,CÔNG TY CỔ PHẦN SSS VIỆT NAM
1242,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ BÌNH YÊN TRAVEL
1243,Công Ty TNHH WORLDCRAFT LOGISTICS
1244,Công ty TNHH City Ascom Việt Nam
1245,Công ty Cổ Phần Salemall
1246,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI KỸ THUẬT A&T VIỆT NAM
1247,Công ty cổ phần đầu tư KD
1248,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ ĐẦU TƯ ĐÔNG HIỆP
1249,CÔNG TY CỔ PHẦN TẬP ĐOÀN IVI
1250,CÔNG TY TNHH QUẢNG CÁO THƯƠNG MẠI VÀ IN W&W
1251,Trường Cao đẳng Công Thương Quốc Tế
1252,Công ty TNHH Letrading Việt Nam
1253,CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ TSG
1254,Latte Games
1255,CÔNG TY TNHH 1 THÀNH VIÊN ISOFHCARE
1256,Brushie Official
1257,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ NVINA
190,Mondelēz Kinh Đô Việt Nam
191,Dai-Ichi Life Vietnam
192,CÔNG TY CỔ PHẦN VIỆT SING
193,Shinhan Bank Vietnam
194,Công Ty Cổ Phần Tập Đoàn MIK Group Việt Nam
195,MEDICONCEN LIMITED
196,CÔNG TY TNHH ICONDO VIỆT NAM
197,FUJIFILM Business Innovation Vietnam
198,Công Ty TNHH LITEON Việt Nam
199,Ngân hàng TMCP Kiên Long
200,Công Ty Tài Chính Trách Nhiệm Hữu Hạn MB Shinsei (Mcredit)
201,Gulf Energy (Việt Nam)
202,Công ty CP Giải pháp Công nghệ HẠNH MINH – HMSTECH
203,Công Ty Cổ Phần Kết Cấu Thép ATAD
204,Công Ty Cổ Phần Công Nghệ Đầu Tư Minh Phương
205,CXSports
206,FPT Corporation
207,CÔNG TY CỔ PHẦN CMC OPENAI
208,CapitaLand Development (Vietnam)
209,Công Ty TNHH Advantech Việt Nam Technology
210,GSM - Xanh SM
211,CÔNG TY CỔ PHẦN TƯ VẤN ĐẦU TƯ RRVN
212,Công Ty Ô Tô Toyota Việt Nam
213,Công Ty TNHH Mi-Jack Manufacturing Global Viet Nam
214,HONEYWELL (VIETNAM) COMPANY LIMITED
215,VINFAST TRADING AND PRODUCTION JSC
216,"Công Ty TNHH Fujikin Việt Nam - KCN Thăng Long, Hà Nội"
217,Netnam Corp.
218,Hanesbrands Inc. (HY Plant)
219,Ngân Hàng TNHH Indovina – Hội Sở
220,Công ty TNHH Poongsan System Vina
221,Công ty TNHH Toyota Hiroshima Tân Cảng - HT
222,ITECHWX COMPANY LIMITED
223,Công ty TNHH Công nghệ Chính xác FUYU
224,"BIP Systems Vietnam Co., Ltd"
225,CÔNG TY CỔ PHẦN DƯỢC PHẨM ĐẠT VI PHÚ (DAVIPHARM)
226,CÔNG TY TNHH CÔNG NGHIỆP SAB( VIỆT NAM)
227,Chi Nhánh Giải Pháp Và Tích Hợp Hệ Thống Công Ty TNHH Một Thành Viên Thanh Bình - BCA
228,Công ty Cổ phần Logistics Hàng không (ALS)
229,VUS - The English Center
230,Phenikaa Group
231,Công Ty Cổ Phần Đầu Tư Xây Dựng SOL E&C
232,Công Ty Tài Chính TNHH Ngân Hàng TMCP Sài Gòn - Hà Nội (SHBFinance)
233,Công Ty Cổ Phần Khu Công Nghiệp Tổ Hợp Công Nghệ Thành Công Việt Hưng (Thành Công Việt Hưng)
234,Công Ty TNHH HKTM VINA
235,Unilever Vietnam
236,CÔNG TY CỔ PHẦN HÀNG KHÔNG LỮ HÀNH VIỆT NAM
237,Shinhan Vietnam Finance Company Limited
238,DL PUBLIC RELATIONS CONSULTING INC
239,Petrovietnam Transportation Corporation (PVTrans)
240,"Yonyou Network Technology Co., Ltd"
241,Công ty TNHH Lạc Yên Group
242,Công Ty TNHH Clever Creations Tech
243,Bosch Global Software Technologies Company Limited
244,K&M Holdings
245,Amphenol High Speed Technology Vietnam
246,CÔNG TY TNHH JCV CORP
247,"Galaxy Digital Holdings Co., Ltd (GH)"
248,CÔNG TY TNHH GIẢI PHÁP PHÁT TRIỂN CÔNG NGHỆ AN HƯNG
249,Công Ty Cổ Phần Vàng Bạc Đá Quý Phú Nhuận (PNJ)
250,Công Ty Cổ Phần Thiết Bị Đo Điện EMIC
251,Horizon Group USA
252,Công Ty Cổ Phần Anne Hill
253,MiTek Việt Nam
254,Công Ty Cổ Phần Công Nghệ VMO Holdings
255,VPDD Citigroup Ltd. In Vietnam
256,Công Ty Cổ Phần Chứng Khoán SSI
257,CÔNG TY TNHH CÔNG NGHỆ ZKTECO VIỆT NAM
258,CMPartners
259,Công Ty Cổ Phần Tập Đoàn Gỗ Minh Long
260,Công ty TNHH Osprey Technology
261,"Công Ty TNHH Công Nghệ Mạng Nhỏ (Smallnet Technologies., Ltd)"
262,CÔNG TY TNHH CƠ KHÍ LASER
263,CÔNG TY TNHH FUSE ONLINE
264,United Overseas Bank (Vietnam) Limited (UOB)
265,Công ty TNHH Innovative Lighting
266,Công ty TNHH Youngjin Hi-tech Vina
267,CÔNG TY CỔ PHẦN CÔNG NGHỆ FINVIET
268,Công Ty Cổ Phần Dược Phẩm Hoa Linh
269,Công Ty Cổ Phần Vua Nệm
270,Công Ty TNHH Sản Xuất First Solar Việt Nam
271,ILA Vietnam
272,Công ty TNHH Julie Sandlau Việt Nam
273,RT Holdings
274,CÔNG TY CỔ PHẦN TẬP ĐOÀN BMK
275,Công Ty Cổ Phần Chứng Khoán Phú Hưng (PHS)
276,Công Ty Cổ Phần Vận Tải Hàng Không Miền Nam (Satsco)
277,Công Ty Cổ Phần Tư Vấn Xây Dựng Công Trình Hàng Hải
278,CÔNG TY CỔ PHẦN CAPELLA GROUP
279,"VIỆN PHÁT TRIỂN CHUYỂN ĐỔI XANH, CHUYỂN ĐỔI SỐ VIỆT NAM"
280,"LITETRACE VIETNAM CO.,LTD"
281,Viettel VTX
282,Công ty cổ phần Tập đoàn Bảo hiểm DBV
283,"Mizuho Bank, Ltd."
284,Japfa Comfeed Vietnam Ltd
285,CÔNG TY TNHH THASCO INTERNATIONAL
286,Trusting Social
287,CÔNG TY TNHH FLAMINPOP
288,"Công ty TNHH sản xuất, thương mại và dịch vụ Thiên Phụng"
289,LVHA Manufacturing Company Limited
290,Navigos Search's Client
291,Talentnet Corporation
292,"Pepperl+Fuchs Vietnam Co., Ltd"
293,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI
1258,CÔNG TY CỔ PHẦN GIÁO DỤC VÀ ĐÀO TẠO ANH THẦY
1259,CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU GREEN STARS
1260,CÔNG TY TNHH CÔNG NGHỆ TSI
1261,CÔNG TY CỔ PHẦN RAPIDA TECHNOLOGIES
1262,CÔNG TY TNHH CÔNG NGHỆ VIETBAY
1263,Công ty Cổ phần Tập đoàn Karofi
1264,"CODLUCK TECHNOLOGY ., JSC"
1265,Viettel IDC
1266,Công ty CP FINT Việt Nam
1267,Công ty TNHH Mỹ Phẩm Mira
1268,CÔNG TY TNHH TRƯỜNG DOANH NHÂN HBR
1269,Công ty TNHH Kaitashi Group
1270,CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT VÀ THƯƠNG MẠI FUMO
1271,Công ty Cổ phần HouseNow
1272,"World Fusion Vietnam Co,.Ltd"
310,Công ty Cổ phần Công nghệ & Truyền Thông Việt Nam
311,Tổng Công Ty Cổ Phần Thương Mại Xây Dựng (WTO)
312,SI CYBER SECURITY ARCHITECTURE CO FZCO
313,"Korea - Vietnam Fertilizer Co., Ltd."
314,"Apicoo Robotics., JSC"
315,RMIT University Vietnam
316,Công ty CP Liên Doanh Cảng Quốc tế Mỹ Thủy
317,CÔNG TY CỔ PHẦN CÔNG NGHỆ T-PLUS
318,Công Ty TNHH R Techno Việt Nam
319,Công Ty TNHH Socotec Việt Nam
320,CÔNG TY TNHH MTV CONVERTECH SOLUTIONS
321,Tập Đoàn Tân Á Đại Thành
322,"CELLPHONES - HỆ THỐNG BÁN LẺ ĐIỆN THOẠI DI ĐỘNG, LAPTOP VÀ CÁC SẢN PHẨM CÔNG NGHỆ TOÀN QUỐC"
323,ECS Group
324,Thương Mại Khánh Thiện
325,Công ty Cổ phần Tập đoàn Bất động sản NK Properties
326,Viettel Networks
327,Công ty Cổ phần Dược phẩm Phenikaa (Phenikaa Pharma)
328,Công Ty Cổ Phần Chứng Khoán KIS Việt Nam
329,Công Ty TNHH PNK
442,Công ty TNHH Asia Target
330,Ngân Hàng TMCP Việt Nam Thương Tín (Vietbank)
331,Công Ty TNHH Năng Lượng Xanh Và Tái Tạo Phương Nam
332,CÔNG TY CỔ PHẦN REAL STAKE FINTECH
333,"DKSH Vietnam Co., Ltd."
334,Navigos Search
335,Wall Street English
336,Công Ty CP Dệt May Đầu Tư Thương Mại Thành Công (TCM)
337,Deliveree On-Demand Logistics (Southeast Asia)
338,Công Ty Cổ Phần Nhựa Tái Chế Duy Tân
339,Tập Đoàn Bưu Chính Viễn Thông Việt Nam (VNPT)
340,Quickpack Vietnam Co.ltd
341,Công Ty TNHH Thủ Công Mỹ Nghệ Và Nội Thất Ngọc Sơn
342,Công ty TNHH Thương Mại JEN&CO
343,PERSOLKELLY Vietnam
344,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN TRÍ TUỆ NHÂN TẠO AIDIA
345,"Rochdale Spears Co., Ltd."
346,Shinhan Customs Vietnam
347,Công ty Cổ phần An ninh Mạng Việt Nam(VSEC)
348,CÔNG TY TNHH TƯ VẤN VÀ PHÁT TRIỂN PHẦN MỀM DEVILINK
349,Pizza 4P's
350,Công ty Cổ phần Consortio Việt Nam
351,"NIKKISO VIETNAM, INC."
352,Sonat Game
353,Công ty Cổ phần Khoáng sản Vật liệu Á CỘNG
354,Công Ty Cổ Phần Chứng Khoán Agribank
355,"Gearment Co.,Ltd"
356,Acclime Vietnam
357,"Samsung Electronics Vietnam Thai Nguyen Co., Ltd"
358,PwC (Vietnam) Ltd.
359,Công Ty Bảo Hiểm Nhân Thọ Cathay
360,CÔNG TY CỔ PHẦN AZ TECHNOLOGIES
361,CÔNG TY TNHH VITASG VN
362,"Wide Viet Nam CO., LTD."
363,Digital Intellect
364,"Wanek Furniture CO., LTD."
365,Công Ty TNHH Trelleborg Việt Nam
366,Vietpay Corporation
367,Webprovise
368,Hệ thống Giáo Dục Edufit
369,Công Ty TNHH TLT Electronics Vietnam
370,Mitsubishi Electric Vietnam Co. Ltd.
371,Công ty Cổ phần Tập đoàn Golden Gate
372,Golden Owl Solutions Corporation
373,MINIT CHARGER L.L.C.
374,Ngân hàng Lộc Phát Việt Nam LPBank
375,Công Ty CP Dây Cáp Điện Việt Nam - CADIVI
376,La Vie Limited Liability Company
377,HONGKONG XINXIN AI TECHNOLOGY  LTD
378,Fushan Technology Vietnam
379,CharterTech Global
380,SNOW VIỆT NAM
381,Công Ty Cổ Phần Tập Đoàn Hoa Sen
382,IGS Group Vietnam Company Limited
383,Đại Học FPT TP.HCM
384,Công Ty Cổ Phần Dược Phẩm Vĩnh Phúc
385,Công Ty Cổ phẩn MASAN MEATLife
386,Công Ty Cổ Phần Bất Động Sản BHS
387,CÔNG TY TNHH DAIICHI SANKYO VIỆT NAM
388,Công Ty Cổ Phần Metub Việt Nam
389,Millbran
390,CÔNG TY TNHH COLLECTIUS CMS VIỆT NAM
391,Ebit
392,FPT IS
393,CÔNG TY CỔ PHẦN XÂY DỰNG ENTIZ
394,Hanwha Vision Viet Nam Company Limited (Tên cũ là HanwhaTechwin Security Vietnam)
395,Tổng Công Ty Phát Điện 3 - EVNGENCO3
396,Công Ty Cổ Phần Hanel Xốp Nhựa
397,"Công ty AUREOLE EXPERT INTEGRATORS Inc. thuộc tập đoàn Mitani Sangyo Co., Ltd. (Nhật Bản)"
398,CÔNG TY TNHH DỊCH VỤ CÔNG NGHỆ NANO TECHNOLOGIES VIỆT NAM
399,CÔNG TY TNHH AJAX SYSTEMS VIỆT NAM
400,LG Electronics Development Vietnam Company Limited
401,Ngân Hàng Thương Mại Cổ Phần Hàng Hải Việt Nam (MSB)
402,MIRROR FUTURE DIAMOND
403,CÔNG TY CỔ PHẦN PHÁT TRIỂN NHÀ BÀ RỊA - VŨNG TÀU
404,Pixel Commerce Studio
405,Meishang Cosmetics Vietnam (Colorkey BRAND)
406,Avery Dennison Vietnam
407,Servier (Vietnam) Pharmaceutical Company
408,Samsung Vina Electronics (savina-s)
409,KDDI Vietnam - HCM GNOC (Ho Chi Minh Global Network Operations Center)
410,Công ty TNHH CRESYN Hà Nội - Nhà máy Bắc Ninh
411,CÔNG TY TNHH YIC ONE
412,Trường Quốc Tế Nam Mỹ
413,Công Ty CP Tập Đoàn Công Nghệ CMC
414,Công ty TNHH Alpaca Việt Nam
415,CÔNG TY TNHH NEXYS MEDIA
416,UPS Vietnam
417,Manulife IT Delivery Center Vietnam Company Limited
418,Rove Concepts Ltd
419,CÔNG TY TNHH LEGACY VOYAGES VIỆT NAM
420,CÔNG TY TNHH MITSUBISHI ELECTRIC FP AUTOMATION VIỆT NAM
421,Công Ty Cổ Phần Sữa VitaDairy Việt Nam
422,M Village
423,Công Ty Cổ Phần Công Nghệ Công Nghiệp Bưu Chính Viễn Thông - VNPT Technology
424,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI VÀ XNK KIM LONG
425,KPMG Việt Nam
426,Tập Đoàn APEC (APEC GROUP)
427,CÔNG TY TNHH HEXOGON VIỆT NAM
428,Công Ty TNHH Omnicomm Việt Nam
429,Công ty TNHH Bảo Dưỡng Toàn Cầu
430,Public Bank Vietnam Ltd
431,CÔNG TY CỔ PHẦN SMARTCOM VIỆT NAM
432,Ascension 6
433,Sun Life Vietnam (Sun Life)
434,The Deutsche Gesellschaft Für Internationale Zusammenarbeit (Giz)
435,Công Ty TNHH Chứng Khoán ACB
436,Michael Page Vietnam
437,Simpson Strong-Tie Vietnam Company Limited
438,Công Ty Cổ Phần Đầu Tư Infinity Group
439,Puwell Cloud Tech Limited
440,ABBank - Ngân Hàng TMCP An Bình
441,Nidec Instruments (Hanoi) Corporation
443,Công ty cổ phần Tập đoàn OSB
444,CÔNG TY TNHH HITRUST
445,CÔNG TY TNHH ANAERGIA VIETNAM
446,AA Corporation
447,"Igarment (Vietnam) Co., Ltd."
448,Công Ty Cổ Phần Tập Đoàn BRG
449,Alliance Construction & Fine Furniture Company
450,gbc engineers Vietnam LLC
451,Công Ty TNHH Pandora Production Việt Nam
452,Novaland
453,Công Ty Cổ Phần Chứng Khoán Tiên Phong
454,Công ty TNHH Elentec Việt Nam
455,Công ty Cổ phần Âu Lạc
456,CÔNG TY TNHH SUMMIT POLYMERS VIETNAM
457,Tập Đoàn Vàng Bạc Đá Quý DOJI
458,Công Ty Cổ Phần Đầu Tư Xây Dựng Viteccons
459,Spartronics Vietnam
460,Công Ty Cổ Phần Đầu Tư Thiên Ân
461,"BELLE ASIA LTD.,"
462,Công ty TNHH Vico
463,Công Ty Cổ Phần Đầu Tư Công Nghệ Và Địa Ốc Interland
464,Công Ty Cổ Phần Nhôm Nhựa Kim Hằng
465,Công ty TNHH The Square Vina
466,DIGI-TEXX Vietnam
467,Anheuser- Busch Inbev (AB Inbev)
468,CÔNG TY CỔ PHẦN TẬP ĐOÀN Y KHOA SÀI GÒN
469,"Bateco Vietnam., JSC"
470,Công ty TNHH Năng lượng mới Growatt Việt Nam
471,CÔNG TY TNHH TJ AEROSPACE VN
472,Hanoi Toronto School
473,Tổng Công Ty Hàng Hải Việt Nam - CTCP
474,Prym Intimates VIetnam
475,Công Ty TNHH Musea Journey
476,NEYU
477,Diana Unicharm JSC
478,Công Ty TNHH Thực Phẩm Trung Minh Thành
