id,job_id,level_id
1062,3157,4
1063,3553,4
1064,3735,4
1065,4089,4
1066,6853,4
1067,1244,4
1068,177,4
1069,1259,4
1070,1266,4
1071,357,4
1072,1025,4
1073,1074,4
1074,1126,4
1075,1195,4
1076,1229,4
1077,1336,4
1078,1340,4
1079,1373,4
1080,1377,4
1081,1417,4
1082,1460,4
1083,1467,4
1084,1469,4
1085,1470,4
1086,1472,4
1087,1495,4
1088,1594,4
1089,1629,4
1090,1728,4
1091,1826,4
1092,1844,4
1093,2267,4
1094,2277,4
1095,2290,4
1096,2500,4
1097,2701,4
1098,2934,4
1099,3734,4
1100,3741,4
1101,3784,4
1102,3785,4
1103,3821,4
1104,3881,4
1105,4048,4
1106,4057,4
1107,4070,4
1108,4075,4
1109,4100,4
1110,4226,4
1111,4250,4
1112,4372,4
1113,4387,4
1114,4399,4
1115,4480,4
1116,4633,4
1117,4684,4
1118,6016,4
1119,6042,4
1120,6065,4
1121,6158,4
1122,6262,4
1123,6266,4
1124,6310,4
1125,6320,4
1126,6454,4
1127,6467,4
1128,6620,4
1129,6717,4
1130,6724,4
1131,6731,4
1132,77,4
1133,6916,4
1134,6935,4
1135,6949,4
1136,172,5
1137,961,5
1138,1349,5
1139,1386,5
1140,1393,5
1141,1475,5
1142,2010,5
1143,2081,5
1144,2643,5
1145,2840,5
1146,2859,5
1147,2897,5
1148,3488,5
1149,3514,5
1150,3515,5
1151,3538,5
1152,3545,5
1153,3551,5
1154,3827,5
1155,3889,5
1156,646,5
1157,6168,5
1158,6389,5
1159,6688,5
1160,6746,5
1161,6796,5
1162,6963,5
1163,70,5
1164,93,5
1165,1252,5
1166,132,5
1167,216,5
1168,1263,5
1169,1264,5
1170,1276,5
1171,1283,5
1172,1285,5
1173,332,5
1174,343,5
1175,346,5
1176,386,5
1177,384,5
1178,390,5
1179,388,5
1180,387,5
1181,556,5
1182,574,5
1183,623,5
1184,662,5
1185,667,5
1186,781,5
1187,790,5
1188,793,5
1189,869,5
1190,874,5
1191,910,5
1192,911,5
1193,979,5
1194,981,5
1195,1077,5
1196,1078,5
1197,1138,5
1198,1189,5
1199,1202,5
1200,1240,5
1201,1346,5
1202,1360,5
1203,1374,5
1204,1380,5
1205,1399,5
1206,1402,5
1207,1412,5
1208,1421,5
1209,1422,5
1210,1428,5
1211,1441,5
1212,1464,5
1213,1556,5
1214,1561,5
1215,1569,5
1216,1605,5
1217,1606,5
1218,1617,5
1219,1650,5
1220,1654,5
1221,1688,5
1222,1756,5
1223,1757,5
1224,1758,5
1225,1763,5
1226,1783,5
1227,1794,5
1228,1848,5
1229,1892,5
1230,1905,5
1231,1910,5
1232,1930,5
1233,1933,5
1234,1977,5
1235,1980,5
1236,2094,5
1237,2105,5
1238,4555,5
1239,4557,5
1240,4561,5
1241,4562,5
1242,4566,5
1243,4574,5
1244,2172,5
1245,2175,5
1246,2199,5
1247,2211,5
1248,2215,5
1249,2221,5
1250,2223,5
1251,2252,5
1252,2253,5
1253,2280,5
1254,2400,5
1255,2345,5
1256,2384,5
1257,2417,5
1258,2418,5
1259,2450,5
1260,2457,5
1261,2470,5
1262,2505,5
1263,2546,5
1264,2550,5
1265,2551,5
1266,2555,5
1267,2642,5
1268,2590,5
1269,2627,5
1270,2654,5
1271,2669,5
1272,2677,5
1273,2678,5
1274,2777,5
1275,2799,5
1276,2820,5
1277,2889,5
1278,2898,5
1279,2926,5
1280,2979,5
1281,2989,5
1282,3025,5
1283,3108,5
1284,3135,5
1285,3205,5
1286,3235,5
1287,3238,5
1288,3250,5
1289,3278,5
1290,3308,5
1291,3313,5
1292,3315,5
1293,3316,5
1294,3324,5
1295,3569,5
1296,3385,5
1297,3442,5
1298,3446,5
1299,3449,5
1300,3460,5
1301,3461,5
1302,3468,5
1303,3469,5
1304,3471,5
1305,3472,5
1306,3547,5
1307,3635,5
1308,3636,5
1309,3647,5
1310,3678,5
1311,3683,5
1312,3699,5
1313,3701,5
1314,3706,5
1315,3719,5
1316,3727,5
1317,3728,5
1318,3733,5
1319,3739,5
1320,3746,5
1321,3747,5
1322,3767,5
1323,3772,5
1324,3774,5
1325,3793,5
1326,3813,5
1327,3818,5
1328,3825,5
1329,3828,5
1330,3830,5
1331,3852,5
1332,3867,5
1333,3869,5
1334,3887,5
1335,3894,5
1336,3900,5
1337,3920,5
1338,3941,5
1339,3962,5
1340,3968,5
1341,3970,5
1342,3971,5
1343,3978,5
1344,3981,5
1345,3986,5
1346,4579,5
1347,4598,5
1348,4047,5
1349,4059,5
1350,4142,5
1351,4158,5
1352,4173,5
1353,4191,5
1354,4192,5
1355,4525,5
1356,4218,5
1357,4235,5
1358,4255,5
1359,4262,5
1360,4275,5
1361,4281,5
1362,4298,5
1363,4305,5
1364,4317,5
1365,4324,5
1366,4359,5
1367,4408,5
1368,4416,5
1369,4419,5
1370,4433,5
1371,4434,5
1372,4461,5
1373,4466,5
1374,4468,5
1375,4470,5
1376,4475,5
1377,4483,5
1378,4485,5
1379,4526,5
1380,4527,5
1381,4528,5
1382,4537,5
1383,4545,5
1384,4654,5
1385,4658,5
1386,4664,5
1387,4674,5
1388,4700,5
1389,5221,5
1390,5231,5
1391,5249,5
1392,5253,5
1393,5258,5
1394,5280,5
1395,5482,5
1396,6010,5
1397,6048,5
1398,6070,5
1399,6071,5
1400,6075,5
1401,6078,5
1402,6080,5
1403,6082,5
1404,6088,5
1405,6089,5
1406,6095,5
1407,6096,5
1408,6099,5
1409,6100,5
1410,6110,5
1411,6169,5
1412,6174,5
1413,6182,5
1414,6185,5
1415,6214,5
1416,6221,5
1417,6227,5
1418,6229,5
1419,6233,5
1420,6235,5
1421,6256,5
1422,6272,5
1423,6273,5
1424,6277,5
1425,6282,5
1426,6289,5
1427,6291,5
1428,6292,5
1429,6318,5
1430,6343,5
1431,6363,5
1432,6366,5
1433,6369,5
1434,6390,5
1435,6407,5
1436,6408,5
1437,6411,5
1438,6423,5
1439,6456,5
1440,6463,5
1441,6470,5
1442,6476,5
1443,6489,5
1444,6496,5
1445,6501,5
1446,6507,5
1447,6518,5
1448,6528,5
1449,6529,5
1450,6546,5
1451,6551,5
1452,6570,5
1453,6573,5
1454,6588,5
1455,6591,5
1456,6598,5
1457,6604,5
1458,6606,5
1459,6616,5
1460,6632,5
1461,6635,5
1462,6637,5
1463,6656,5
1464,6664,5
1465,6670,5
1466,6674,5
1467,6675,5
1468,6676,5
1469,6684,5
1470,6691,5
1471,6692,5
1472,6700,5
1473,6716,5
1474,6718,5
1475,6725,5
1476,6773,5
1477,6775,5
1478,6804,5
1479,6806,5
1480,6826,5
1481,6832,5
1482,6855,5
1483,6860,5
1484,6863,5
1485,6889,5
1486,6896,5
1487,6899,5
1488,6904,5
1489,6912,5
1490,6923,5
1491,6936,5
1492,6941,5
1493,6957,5
1494,6970,5
1495,6971,5
1496,6972,5
1497,6976,5
1498,6991,5
1499,6993,5
1500,6996,5
1501,7002,5
1502,7016,5
1503,7018,5
1504,7019,5
1505,23,5
1506,190,5
1507,176,5
1508,59,5
1509,2871,5
1510,7244,5
1511,79,5
1512,6375,5
1513,244,6
1514,304,6
1515,1347,6
1516,3659,6
1517,3713,6
1518,4505,6
1519,5244,6
1520,185,6
1521,1265,6
1522,1279,6
1523,1286,6
1524,300,6
1525,322,6
1526,334,6
1527,335,6
1528,400,6
1529,5384,6
1530,5434,6
1531,5724,6
1532,5897,6
1533,5903,6
1534,6001,6
1535,1724,6
1536,584,6
1537,794,6
1538,878,6
1539,887,6
1540,936,6
1541,952,6
1542,1061,6
1543,1167,6
1544,1182,6
1545,1204,6
1546,1356,6
1547,1431,6
1548,1444,6
1549,1471,6
1550,1581,6
1551,1631,6
1552,1743,6
1553,1805,6
1554,1867,6
1555,1873,6
1556,1875,6
1557,1895,6
1558,1899,6
1559,1925,6
1560,4568,6
1561,2268,6
1562,2289,6
1563,2730,6
1564,2752,6
1565,2770,6
1566,3098,6
1567,3101,6
1568,5147,6
1569,3263,6
1570,3314,6
1571,3383,6
1572,3574,6
1573,3754,6
1574,3775,6
1575,3783,6
1576,3797,6
1577,3804,6
1578,3948,6
1579,4928,6
1580,3984,6
1581,4046,6
1582,4068,6
1583,4073,6
1584,4207,6
1585,4249,6
1586,4276,6
1587,4335,6
1588,4373,6
1589,4478,6
1590,4482,6
1591,4494,6
1592,4511,6
1593,4622,6
1594,5266,6
1595,5433,6
1596,6005,6
1597,5563,6
1598,5566,6
1599,5608,6
1600,5635,6
1601,5723,6
1602,6146,6
1603,6189,6
1604,6275,6
1605,6603,6
1606,6641,6
1607,6662,6
1608,6830,6
1609,6843,6
1610,6914,6
1611,6977,6
1612,94,6
1613,4448,7
1614,4451,7
1615,1249,7
1616,1268,7
1617,1289,7
1618,326,7
1619,364,7
1620,359,7
1621,371,7
1622,1298,7
1623,436,7
1624,438,7
1625,439,7
1626,1318,7
1627,1320,7
1628,731,7
1629,997,7
1630,999,7
1631,1026,7
1632,1180,7
1633,1362,7
1634,1468,7
1635,1588,7
1636,1815,7
1637,1817,7
1638,1918,7
1639,1923,7
1640,1926,7
1641,1949,7
1642,2004,7
1643,2030,7
1644,2232,7
1645,2307,7
1646,2437,7
1647,2461,7
1648,3178,7
1649,3548,7
1650,3581,7
1651,3692,7
1652,3778,7
1653,3794,7
1654,3795,7
1655,3851,7
1656,3908,7
1657,4425,7
1658,4656,7
1659,4071,7
1660,4072,7
1661,4104,7
1662,4162,7
1663,4309,7
1664,4380,7
1665,4464,7
1666,4543,7
1667,4624,7
1668,5486,7
1669,6271,7
1670,6290,7
1671,6377,7
1672,6461,7
1673,6770,7
1674,6809,7
1675,6987,7
1676,12,6
1677,76,6
1678,5511,6
1679,4550,6
1680,806,6
1681,5315,6
1682,4994,6
1683,4996,6
1684,5174,6
1685,5406,6
1686,5024,6
1687,5032,6
1688,5987,6
1689,5464,6
1690,5200,6
1691,5206,6
1692,96,6
1693,3467,6
1694,5095,6
1695,4940,6
1696,5613,6
1697,6491,6
1698,4765,6
1699,5106,6
1700,1195,6
1701,1404,6
1702,1417,6
1703,1470,6
1704,1522,6
1705,4803,6
1706,5118,6
1707,5123,6
1708,4997,6
1709,5936,6
1710,4100,6
1711,5182,6
1712,4222,6
1713,5162,6
1714,4399,6
1715,4952,6
1716,5276,6
1717,5292,6
1718,5318,6
1719,5335,6
1720,5337,6
1721,5345,6
1722,5347,6
1723,5419,6
1724,5421,6
1725,5430,6
1726,5460,6
1727,5550,6
1728,5595,6
1729,5600,6
1730,5602,6
1731,5607,6
1732,5628,6
1733,5643,6
1734,5644,6
1735,5665,6
1736,5682,6
1737,5737,6
1738,5738,6
1739,5745,6
1740,5764,6
1741,5802,6
1742,5828,6
1743,5838,6
1744,5900,6
1745,5902,6
1746,5944,6
1747,5945,6
1748,5949,6
1749,5959,6
1750,5993,6
1751,5997,6
1752,6002,6
1753,6620,6
1754,5262,6
1755,6358,6
1756,5450,2
1757,5583,2
1758,5590,2
1759,5599,2
1760,5513,2
1761,4814,2
1762,291,2
1763,5516,2
1764,462,2
1765,4849,2
1766,4858,2
1767,5517,2
1768,5518,2
1769,4964,2
1770,5473,2
1771,4904,2
1772,4905,2
1773,865,2
1774,5524,2
1775,5714,2
1776,5525,2
1777,5526,2
1778,1161,2
1779,5527,2
1780,4870,2
1781,5530,2
1782,5359,2
1783,5531,2
1784,5128,2
1785,5315,2
